Respondent_ID,Age,Annual_Income,Satisfaction_Score,Work_Hours_Per_Week,Spending_Score,Gender,Education_Level,Employment_Status
54,41,33562,1.22,46,30.84,Male,Master's Degree,Unemployed
55,45,33433,2.4,46,55.15,Prefer not to say,Associate Degree,Self-employed
56,44,56503,3.48,31,0.03,Male,High School,Self-employed
57,26,46661,2.61,57,40.96,Female,High School,Student
58,31,24770,1.1,53,16.39,Male,Associate Degree,Unemployed
59,38,57170,2.91,31,71.14,Prefer not to say,Associate Degree,Employed
60,44,28405,2.77,35,22.11,Prefer not to say,Master's Degree,Unemployed
61,30,52097,4.03,52,74.89,Female,High School,Self-employed
62,33,53577,2.12,57,31.32,Female,Bachelor's Degree,Employed
63,23,63283,1.87,27,92.58,Male,Bachelor's Degree,Student
64,23,76725,2.02,29,44.54,Male,Doctorate,Employed
65,43,29529,2.21,38,83.95,Non-binary,Bachelor's Degree,Student
66,48,49212,3.4,18,62.82,Non-binary,High School,Unemployed
67,34,45854,2.89,40,97.74,Male,Master's Degree,Employed
68,45,56506,2.35,51,74.27,Female,High School,Retired
69,38,53235,2.5,25,72.77,Male,High School,Self-employed
70,28,44711,2.48,41,26.49,Non-binary,Bachelor's Degree,Student
71,38,43386,4.89,34,50.49,Female,Associate Degree,Employed
72,50,33253,1.93,56,29.01,Non-binary,Doctorate,Employed
73,34,64817,4.27,34,1.93,Male,Bachelor's Degree,Retired
74,50,56888,3.83,55,71.06,Male,Bachelor's Degree,Unemployed
75,18,63766,1.02,34,23.58,Prefer not to say,Bachelor's Degree,Retired
76,43,45344,4.97,47,39.73,Male,Doctorate,Employed
77,35,40147,4.03,42,28.46,Prefer not to say,Master's Degree,Self-employed
78,32,33825,3.73,38,19.96,Prefer not to say,Bachelor's Degree,Employed
79,35,55383,2.62,32,6.71,Prefer not to say,Master's Degree,Employed
80,18,34403,3.22,43,33.79,Prefer not to say,Master's Degree,Employed
81,32,77729,2.01,35,8.17,Non-binary,High School,Retired
82,38,30385,1.14,33,54.03,Male,Associate Degree,Retired
83,49,54104,4.34,54,1.96,Male,Doctorate,Student
84,29,73502,4.59,45,94,Male,Associate Degree,Student
85,26,58986,1.65,46,96.65,Prefer not to say,Master's Degree,Student
86,29,52635,4.15,36,30.47,Non-binary,Master's Degree,Employed
87,44,35472,3.96,38,26.02,Non-binary,Doctorate,Student
88,38,29273,1.71,37,10.44,Prefer not to say,Associate Degree,Student
89,29,61550,2.69,43,90.49,Prefer not to say,High School,Unemployed
90,40,72592,2.69,46,58.69,Male,Associate Degree,Retired
91,35,43417,4.04,39,61.01,Non-binary,Bachelor's Degree,Student
92,44,32914,4.35,32,89.59,Female,Associate Degree,Retired
93,27,20000,1.38,47,91.08,Female,Master's Degree,Self-employed
94,31,35288,3.25,40,82.83,Female,Doctorate,Unemployed
95,31,48295,4.05,25,77.34,Female,Bachelor's Degree,Self-employed
96,20,73986,4.14,18,87.72,Prefer not to say,Master's Degree,Retired
97,37,60097,1.59,42,87.6,Male,Associate Degree,Retired
98,37,54576,3.1,31,36.86,Female,Doctorate,Self-employed
99,35,43998,4.43,44,97.34,Male,Bachelor's Degree,Student
100,32,41252,2.27,32,70.91,Male,Associate Degree,Unemployed
101,20,71084,2.7,41,37.02,Non-binary,Bachelor's Degree,Retired
102,30,53011,4.22,36,44.2,Female,High School,Employed
103,31,20000,1.36,57,68.71,Male,High School,Unemployed
104,26,39896,4.44,49,36.11,Non-binary,Doctorate,Self-employed
105,33,37126,2.24,53,82.66,Prefer not to say,High School,Retired
106,39,41806,1.01,40,14.81,Male,Master's Degree,Retired
107,53,58443,1.94,48,90.76,Male,Associate Degree,Self-employed
108,36,48388,1.36,40,30.12,Non-binary,Bachelor's Degree,Employed
109,37,48847,1.37,54,15.27,Male,Bachelor's Degree,Employed
110,34,69702,3.77,39,85.8,Prefer not to say,High School,Retired
111,18,39553,1.86,26,23.95,Prefer not to say,Bachelor's Degree,Student
112,34,77962,4.74,20,84.34,Non-binary,Bachelor's Degree,Employed
113,35,39930,3.07,56,29.63,Female,Associate Degree,Employed
114,59,51337,2.84,44,93.39,Male,Doctorate,Student
115,33,45781,2.74,45,21.91,Male,Bachelor's Degree,Employed
116,38,51851,3.77,54,6.96,Female,High School,Student
117,34,56668,2.81,23,93.65,Prefer not to say,High School,Self-employed
118,23,56507,1.51,36,16.56,Male,Doctorate,Unemployed
119,46,38703,4.52,37,94.41,Non-binary,Bachelor's Degree,Unemployed
120,42,33156,2.71,47,82.4,Non-binary,Bachelor's Degree,Self-employed
121,42,87547,1.3,33,8.19,Non-binary,Bachelor's Degree,Employed
122,25,42740,3.12,27,44.51,Male,Doctorate,Unemployed
123,49,60488,3.59,27,7.34,Female,High School,Self-employed
124,20,25885,2.1,51,32.98,Male,Bachelor's Degree,Unemployed
125,40,45805,4.2,32,35.15,Female,Bachelor's Degree,Employed
126,56,48092,3.68,34,59.96,Female,Master's Degree,Student
127,25,57092,3.6,46,97.59,Male,Associate Degree,Self-employed
128,29,20000,2.68,33,16.98,Prefer not to say,Doctorate,Unemployed
129,35,52492,4.85,22,32.92,Female,Associate Degree,Employed
130,29,32753,2.1,24,58.71,Male,Doctorate,Unemployed
131,19,54865,3.31,39,17.14,Prefer not to say,Associate Degree,Employed
132,35,34455,2.24,44,71.07,Prefer not to say,Master's Degree,Employed
133,24,37167,3.98,37,40.37,Male,Associate Degree,Employed
134,39,45895,1.19,44,94.96,Male,Bachelor's Degree,Employed
135,25,34215,1.18,23,62.99,Prefer not to say,Associate Degree,Self-employed
136,50,42866,4.24,24,36.31,Male,Associate Degree,Student
137,27,32099,2.74,62,71.95,Prefer not to say,High School,Self-employed
138,31,22502,2.36,52,83.88,Prefer not to say,Doctorate,Unemployed
139,43,65269,3.43,47,80.05,Prefer not to say,Associate Degree,Self-employed
140,22,30559,3.81,33,26.28,Non-binary,Bachelor's Degree,Self-employed
141,37,47319,1.8,37,41.7,Male,Bachelor's Degree,Unemployed
142,48,61293,1.74,39,45.22,Non-binary,Doctorate,Student
143,18,40775,4.83,53,38.84,Male,Master's Degree,Self-employed
144,36,37622,3.36,44,31.09,Female,Doctorate,Employed
145,37,53393,2.56,45,75.27,Non-binary,Bachelor's Degree,Self-employed
146,42,66769,4.21,38,1.22,Male,Master's Degree,Unemployed
147,22,32460,3.1,47,29.35,Male,Master's Degree,Student
148,21,47747,1.97,43,14.16,Prefer not to say,High School,Self-employed
149,40,24012,1.83,40,12.88,Female,Associate Degree,Self-employed
150,37,44101,2.59,32,27.7,Female,High School,Unemployed
151,37,50513,4.44,38,76.22,Male,Associate Degree,Retired
152,38,37180,1.25,29,96.94,Female,High School,Retired
153,28,43145,1.87,39,51.46,Female,Master's Degree,Self-employed
154,37,28876,4.57,40,33.9,Non-binary,Associate Degree,Employed
155,37,51156,1.49,15,82.92,Female,Bachelor's Degree,Self-employed
156,27,65835,3.52,37,6.71,Female,Master's Degree,Retired
157,53,33542,1.85,28,9.32,Prefer not to say,Doctorate,Self-employed
158,39,40659,3.42,44,34.54,Prefer not to say,Master's Degree,Employed
159,23,57538,2.53,46,44.84,Non-binary,Bachelor's Degree,Student
160,41,68181,1.41,35,79.78,Male,High School,Self-employed
161,25,27602,3.33,45,92.53,Prefer not to say,Associate Degree,Unemployed
162,42,47468,3.73,45,53.13,Non-binary,High School,Employed
163,46,54246,3.72,37,49.56,Female,High School,Self-employed
164,26,48469,3.55,55,21.3,Non-binary,Associate Degree,Retired
165,44,20000,3,32,45.12,Prefer not to say,High School,Self-employed
166,39,57516,3.08,54,92.36,Female,Bachelor's Degree,Retired
167,43,72790,3.54,37,39.29,Non-binary,Doctorate,Unemployed
168,53,51749,3.76,31,21.07,Prefer not to say,Associate Degree,Student
169,32,34533,3.62,36,33.73,Non-binary,High School,Retired
170,27,42303,3.35,29,51.46,Male,Associate Degree,Self-employed
171,26,76548,1.62,47,59.86,Female,High School,Unemployed
172,26,63649,1.84,23,43.24,Non-binary,Bachelor's Degree,Employed
173,34,59600,2.04,53,75.85,Non-binary,Master's Degree,Self-employed
174,38,55346,4.68,30,58.45,Female,Doctorate,Employed
175,37,40082,4.04,48,66.5,Prefer not to say,Doctorate,Retired
176,43,46991,3.21,40,86.29,Non-binary,Associate Degree,Unemployed
177,35,48831,2.01,42,86.57,Prefer not to say,Doctorate,Student
178,49,58243,1.44,34,20.35,Male,High School,Self-employed
179,32,72633,4.6,43,62.33,Female,Bachelor's Degree,Unemployed
180,62,66775,4.57,41,71.66,Prefer not to say,Bachelor's Degree,Unemployed
181,41,28709,1.44,25,14.59,Prefer not to say,Associate Degree,Student
182,26,53359,4.19,30,84.28,Prefer not to say,High School,Retired
183,24,61051,2.79,34,18.05,Male,Doctorate,Student
184,39,59282,2.3,32,79.93,Female,High School,Student
185,32,40561,3.96,52,16.15,Prefer not to say,Doctorate,Student
186,42,93711,3.46,40,74.18,Prefer not to say,High School,Employed
187,39,30843,4.12,32,14.81,Male,Doctorate,Self-employed
188,34,33752,1.3,35,37.88,Female,Doctorate,Student
189,26,53503,2.27,34,14.35,Non-binary,Bachelor's Degree,Self-employed
190,19,81752,2.28,37,27.07,Female,Master's Degree,Student
191,30,37457,2.32,29,98.45,Non-binary,Master's Degree,Retired
192,43,46012,3.01,31,10.77,Male,Associate Degree,Retired
193,37,66159,2.13,47,40.65,Non-binary,Master's Degree,Student
194,22,49732,2.78,41,67.69,Male,Associate Degree,Unemployed
195,36,44980,2.47,38,9.46,Non-binary,Bachelor's Degree,Self-employed
196,38,58484,3.94,40,10.9,Male,Associate Degree,Retired
197,26,54087,3.41,39,14.33,Female,Master's Degree,Employed
198,36,65456,3.61,37,64.5,Female,Doctorate,Unemployed
199,35,69372,1.84,45,90.93,Non-binary,Associate Degree,Retired
200,23,54605,2.3,44,82.6,Female,Master's Degree,Unemployed
201,38,54375,1.08,24,98.31,Non-binary,Master's Degree,Self-employed
202,40,53211,1.43,38,57.81,Male,Doctorate,Unemployed
203,45,57336,2.06,24,96.15,Prefer not to say,High School,Employed
204,45,50827,1.26,46,30.49,Male,Master's Degree,Unemployed
205,21,49990,3.41,47,42.15,Prefer not to say,Bachelor's Degree,Retired
206,25,67949,4.99,33,39.6,Female,Doctorate,Employed
207,40,72741,1.4,38,4.74,Female,High School,Self-employed
208,40,27386,4.28,18,82.97,Non-binary,Doctorate,Retired
209,40,50150,1.48,49,2.47,Non-binary,Associate Degree,Self-employed
210,70,39669,3.68,47,72.99,Prefer not to say,Master's Degree,Student
211,40,45335,3.57,51,40.71,Male,Master's Degree,Retired
212,46,56037,4.61,54,0.62,Prefer not to say,Doctorate,Unemployed
213,44,60041,1.46,27,28.99,Prefer not to say,Associate Degree,Self-employed
214,41,48318,2.26,48,34.61,Male,Doctorate,Unemployed
215,31,21299,1.36,54,96.47,Non-binary,Bachelor's Degree,Employed
216,42,35524,2.63,25,66.11,Female,Master's Degree,Self-employed
217,27,63447,4.65,38,54.36,Female,Master's Degree,Self-employed
218,32,20000,4.13,36,12.71,Non-binary,Bachelor's Degree,Employed
219,30,67811,3.89,48,39.11,Prefer not to say,High School,Employed
220,35,57818,3.13,16,3.58,Non-binary,Master's Degree,Employed
221,58,69742,4.53,58,76.17,Prefer not to say,Doctorate,Employed
222,18,47021,2.8,38,16.28,Female,High School,Student
223,41,20000,1.6,49,59.44,Prefer not to say,High School,Self-employed
224,18,56455,4.35,39,69.94,Female,Doctorate,Student
225,30,69119,2.12,44,36.65,Female,Bachelor's Degree,Student
226,45,63870,1.21,16,63.26,Prefer not to say,High School,Unemployed
227,35,40059,1.5,36,76.42,Female,Master's Degree,Self-employed
228,24,51301,3.44,48,18.41,Non-binary,Associate Degree,Self-employed
229,27,42007,3.43,42,60.09,Prefer not to say,High School,Self-employed
230,41,37711,2.04,23,73.39,Male,Bachelor's Degree,Self-employed
231,27,64330,3.91,40,35.7,Female,Doctorate,Employed
232,37,32037,4.09,31,16.25,Prefer not to say,Master's Degree,Retired
233,35,36592,4.68,30,28.61,Prefer not to say,Associate Degree,Unemployed
234,28,33439,3.34,24,93.31,Prefer not to say,High School,Unemployed
235,56,27646,4.12,46,35.74,Male,Bachelor's Degree,Employed
236,41,52196,4.01,51,10.77,Male,Associate Degree,Student
237,18,67422,2.03,61,8.27,Female,Associate Degree,Retired
238,36,47226,2.24,25,18.05,Non-binary,Master's Degree,Unemployed
239,28,27413,2.91,47,12.75,Male,Master's Degree,Student
240,43,62599,1.08,48,49.5,Male,High School,Self-employed
241,27,75285,2.19,34,34.76,Prefer not to say,High School,Retired
242,33,40306,2.9,30,84.14,Prefer not to say,Associate Degree,Retired
243,40,42821,1.43,29,88.11,Non-binary,Bachelor's Degree,Self-employed
244,43,57734,1.51,34,47.33,Female,Associate Degree,Unemployed
245,22,74328,2.85,42,88.85,Prefer not to say,Bachelor's Degree,Retired
246,31,42202,3.92,53,45.05,Female,Master's Degree,Employed
247,30,30013,4.33,51,64.2,Non-binary,Bachelor's Degree,Employed
248,28,59471,3.19,23,16.25,Non-binary,Bachelor's Degree,Employed
249,52,61986,2.9,32,5.26,Male,Master's Degree,Retired
250,39,50091,2.54,52,16.01,Female,Doctorate,Unemployed
251,22,41628,1.77,32,25.18,Prefer not to say,Associate Degree,Student
252,44,64915,1.59,39,75.1,Prefer not to say,High School,Unemployed
253,56,57920,4.17,22,17.35,Female,Bachelor's Degree,Student
254,45,38473,2.86,51,13.07,Prefer not to say,High School,Retired
255,19,50736,4.16,20,92.76,Prefer not to say,High School,Self-employed
256,30,29724,3.82,23,68.88,Prefer not to say,Associate Degree,Student
257,47,60288,1.78,50,47.33,Prefer not to say,Doctorate,Student
258,27,46066,3.04,59,9.5,Non-binary,Doctorate,Unemployed
259,39,43464,2.78,37,85.18,Non-binary,Doctorate,Retired
260,42,49506,2.7,39,10.83,Prefer not to say,Doctorate,Unemployed
261,25,50604,3.17,49,61.1,Female,Master's Degree,Retired
262,34,63423,4.93,42,66.77,Prefer not to say,High School,Student
263,18,58866,4.25,36,40.01,Female,High School,Self-employed
264,24,47653,4.61,35,91.12,Female,Master's Degree,Retired
265,32,61455,1.12,24,5.07,Male,Associate Degree,Student
266,22,56011,1.56,42,81.81,Male,Bachelor's Degree,Self-employed
267,51,43601,1.34,39,55.38,Male,Doctorate,Unemployed
268,20,48129,2.05,35,61.12,Female,Doctorate,Unemployed
269,30,47776,2.77,29,98.68,Female,Master's Degree,Retired
270,36,57578,3.57,30,58.26,Female,Doctorate,Retired
271,49,44494,3,46,79.7,Female,Master's Degree,Retired
272,20,44143,4.61,48,15.35,Female,Bachelor's Degree,Unemployed
273,46,79531,4.76,36,80.93,Non-binary,High School,Retired
274,35,64096,1.65,35,76.11,Prefer not to say,Doctorate,Student
275,25,38590,4.41,31,96.81,Male,Associate Degree,Employed
276,39,58564,2.93,49,93.57,Female,Master's Degree,Employed
277,36,51775,2.81,40,21.4,Non-binary,Bachelor's Degree,Retired
278,28,55873,4.14,43,46.49,Male,Associate Degree,Student
279,35,52060,1.37,43,91.15,Prefer not to say,High School,Student
280,31,67844,4.53,36,64.08,Non-binary,Associate Degree,Student
281,36,55184,3.68,28,46.37,Female,Master's Degree,Self-employed
282,41,49068,4.5,30,10.89,Non-binary,Doctorate,Student
283,50,65632,4.98,51,35.18,Non-binary,High School,Unemployed
284,22,53499,3.07,32,66.52,Prefer not to say,Master's Degree,Unemployed
285,56,51822,1.37,35,77.69,Non-binary,Bachelor's Degree,Student
286,18,54710,1.67,28,44.72,Male,Associate Degree,Employed
287,33,48595,2.29,27,5.58,Non-binary,Associate Degree,Self-employed
288,40,50138,1.41,32,63.32,Male,High School,Unemployed
289,37,41199,4.26,56,92.16,Female,High School,Unemployed
290,28,38732,2.19,46,49.64,Female,Bachelor's Degree,Unemployed
291,32,35021,4.9,34,92.84,Male,Bachelor's Degree,Self-employed
292,30,29120,3.81,50,35.41,Female,High School,Student
293,29,36804,1.69,38,88.64,Prefer not to say,Master's Degree,Self-employed
294,43,47385,2.9,53,78.63,Prefer not to say,Master's Degree,Student
295,38,51546,2.87,62,96.17,Prefer not to say,High School,Retired
296,28,45930,2.97,50,79.1,Prefer not to say,Associate Degree,Unemployed
297,43,20000,3.14,40,32.15,Male,Doctorate,Employed
298,38,73618,1.12,46,90.06,Prefer not to say,Bachelor's Degree,Self-employed
299,43,66297,3.75,40,66.97,Male,Master's Degree,Self-employed
300,41,56686,2.95,21,16.21,Non-binary,Doctorate,Unemployed
301,26,78612,4.16,33,4.6,Male,Associate Degree,Unemployed
302,29,35339,4.26,30,36.58,Female,Bachelor's Degree,Employed
303,42,78314,1.92,33,78.69,Prefer not to say,Master's Degree,Employed
304,41,35521,1.19,57,61.82,Male,Master's Degree,Unemployed
305,34,53581,3.81,51,52.71,Male,Associate Degree,Student
306,36,30892,4.91,44,0.37,Male,Associate Degree,Unemployed
307,47,50220,2.79,48,43.55,Non-binary,Master's Degree,Employed
308,29,55792,2.04,21,15.77,Male,Master's Degree,Unemployed
309,40,47679,1.63,47,45.46,Prefer not to say,Doctorate,Employed
310,32,60708,2.15,49,99.18,Female,Associate Degree,Retired
311,32,51485,2.31,17,87.95,Non-binary,Associate Degree,Student
312,45,42163,2.7,47,31.06,Female,Doctorate,Employed
313,43,41497,3.62,25,59.35,Non-binary,Associate Degree,Self-employed
314,43,62163,2.09,20,50.21,Non-binary,High School,Self-employed
315,48,40193,1.2,53,13,Prefer not to say,Bachelor's Degree,Student
316,35,63731,2.49,29,98.98,Female,High School,Student
317,41,68340,4.42,32,42.52,Female,Associate Degree,Self-employed
318,31,24969,2.99,49,50.57,Non-binary,Doctorate,Retired
319,38,66993,4.86,36,64.76,Prefer not to say,Master's Degree,Retired
320,33,80906,3.01,38,19.15,Prefer not to say,Associate Degree,Employed
321,35,53780,2.1,37,22.22,Non-binary,Master's Degree,Student
322,40,58986,1.77,43,19.26,Female,Bachelor's Degree,Self-employed
323,26,65555,3.78,37,38.45,Non-binary,High School,Student
324,55,45867,3.15,41,19.97,Non-binary,Bachelor's Degree,Self-employed
325,24,52734,3.42,34,92.64,Non-binary,Master's Degree,Self-employed
326,22,30287,4.02,43,71.43,Prefer not to say,Bachelor's Degree,Employed
327,46,52079,3.9,43,89.78,Non-binary,Master's Degree,Student
328,42,57471,1.17,58,84.85,Non-binary,High School,Retired
329,41,57742,4.21,36,70.32,Male,Master's Degree,Student
330,41,65981,3.13,38,24.27,Prefer not to say,High School,Self-employed
331,34,38377,2.57,42,61.53,Prefer not to say,Associate Degree,Retired
332,26,42010,3.15,49,18.63,Male,Master's Degree,Self-employed
333,35,78432,3.45,29,13.25,Non-binary,Bachelor's Degree,Student
334,28,47745,1.6,41,63.26,Prefer not to say,Doctorate,Self-employed
335,44,53000,2.67,14,62.46,Male,Bachelor's Degree,Unemployed
336,33,48994,2.34,37,15.66,Non-binary,Doctorate,Retired
337,26,37674,2.4,50,35.24,Prefer not to say,Bachelor's Degree,Employed
338,31,74352,1.37,32,6.63,Prefer not to say,Master's Degree,Unemployed
339,39,42084,1.64,41,71.57,Non-binary,Associate Degree,Self-employed
340,29,33090,1.65,34,98.75,Non-binary,Master's Degree,Student
341,26,43238,2.49,31,73.99,Male,High School,Self-employed
342,37,20000,4.58,49,84.42,Non-binary,Associate Degree,Employed
343,37,40230,1.82,29,47.63,Male,Master's Degree,Student
344,29,35478,2.66,42,9.56,Non-binary,Associate Degree,Retired
345,30,59261,2.25,43,72.66,Prefer not to say,High School,Retired
346,37,39898,4.15,31,25.65,Male,Doctorate,Self-employed
347,20,63317,1.2,41,38.83,Male,Associate Degree,Unemployed
348,20,70977,1.79,30,70.31,Female,Associate Degree,Student
349,27,61717,1.84,45,90.48,Prefer not to say,High School,Unemployed
350,32,46769,4.97,26,48.62,Non-binary,Master's Degree,Self-employed
351,38,52116,3.28,36,96.16,Male,Doctorate,Student
352,49,27125,1.56,37,51.99,Female,Associate Degree,Retired
353,43,47993,2.09,51,12.25,Non-binary,Associate Degree,Retired
354,33,37093,1.67,41,51.84,Prefer not to say,Associate Degree,Self-employed
355,34,60414,1.5,49,86.06,Male,Associate Degree,Student
356,24,88591,4.19,45,53.8,Female,High School,Self-employed
357,34,57497,2.98,45,74.78,Female,Associate Degree,Retired
358,32,20132,3.52,36,54.8,Female,Doctorate,Employed
359,38,44581,2.33,50,54.61,Male,High School,Unemployed
360,26,51837,3.21,36,28.48,Prefer not to say,Associate Degree,Self-employed
361,40,51310,2.03,22,20.13,Non-binary,Doctorate,Employed
362,50,39037,2.23,37,27.89,Non-binary,Bachelor's Degree,Retired
363,33,53679,3.61,44,44.08,Female,Bachelor's Degree,Self-employed
364,39,31362,1.6,23,80.96,Non-binary,Doctorate,Retired
365,41,35826,3.47,31,82.9,Prefer not to say,Associate Degree,Retired
366,30,59686,4.41,27,16.34,Female,Associate Degree,Self-employed
367,37,34765,1.48,47,55.29,Prefer not to say,High School,Employed
368,35,58073,4.59,56,41.6,Prefer not to say,Associate Degree,Self-employed
369,35,29458,1.32,37,57.09,Male,High School,Retired
370,27,76472,2.4,45,64.76,Male,Associate Degree,Student
371,35,38385,3.44,45,27.96,Non-binary,Master's Degree,Retired
372,39,46645,3.24,55,91.92,Female,Master's Degree,Self-employed
373,49,54959,1.39,33,93.54,Male,Doctorate,Employed
374,44,41519,4.2,37,10.54,Non-binary,Master's Degree,Retired
375,56,52151,4.89,36,70.3,Female,Bachelor's Degree,Employed
376,27,58630,1.72,40,3.32,Prefer not to say,Bachelor's Degree,Employed
377,43,64409,4.58,65,4.66,Prefer not to say,High School,Unemployed
378,36,61872,3.23,40,95.78,Male,Bachelor's Degree,Employed
379,56,47422,4.74,31,69.49,Prefer not to say,Associate Degree,Retired
380,26,47800,1.7,28,32.45,Non-binary,High School,Retired
381,26,85236,4.17,52,66.99,Female,Master's Degree,Self-employed
382,29,64248,1.24,31,84.58,Female,Master's Degree,Self-employed
383,18,36172,4.53,46,87.09,Male,Bachelor's Degree,Employed
384,29,51499,3.7,33,2.05,Non-binary,Bachelor's Degree,Student
385,27,44972,2.48,27,81.82,Non-binary,Associate Degree,Retired
386,36,47969,1.76,46,85.32,Female,Master's Degree,Employed
387,38,31557,4.27,33,59.56,Male,Bachelor's Degree,Self-employed
388,53,43821,3.41,44,47.99,Male,Master's Degree,Retired
389,44,77173,2.44,44,11.1,Prefer not to say,Master's Degree,Unemployed
390,29,58686,2.78,45,23.96,Non-binary,Bachelor's Degree,Self-employed
391,26,20000,4.31,37,49.05,Prefer not to say,Master's Degree,Unemployed
392,39,68250,2.36,46,86.51,Prefer not to say,Bachelor's Degree,Retired
393,21,66344,1.36,30,80.31,Female,Doctorate,Student
394,53,44610,4.65,15,49.59,Non-binary,Bachelor's Degree,Employed
395,46,60758,2.55,47,78.56,Non-binary,Master's Degree,Employed
396,30,37109,2.39,41,76.57,Female,Doctorate,Student
397,18,42946,1.82,33,57.9,Male,Master's Degree,Employed
398,48,72478,4.59,25,22.03,Prefer not to say,Master's Degree,Employed
399,33,45924,1.87,19,34.8,Prefer not to say,Doctorate,Unemployed
400,47,21954,3.55,40,16.41,Prefer not to say,Associate Degree,Employed
401,19,49050,4.52,56,0.72,Prefer not to say,Doctorate,Unemployed
402,29,48821,1.14,38,8.05,Non-binary,Master's Degree,Employed
403,35,67975,4.32,36,75.96,Female,Master's Degree,Employed
404,35,50215,2.64,39,3.35,Male,Associate Degree,Self-employed
405,30,43676,3.63,61,39.99,Female,Doctorate,Student
406,41,65675,2.49,47,98.58,Female,Bachelor's Degree,Self-employed
407,24,51811,3.78,30,79.52,Prefer not to say,Master's Degree,Employed
408,33,38749,2.02,40,75.06,Prefer not to say,Doctorate,Unemployed
409,36,67324,1.09,43,27.47,Prefer not to say,High School,Employed
410,40,52904,4.79,29,64.17,Female,Master's Degree,Retired
411,42,50043,1.07,47,49.87,Male,Bachelor's Degree,Retired
412,23,52668,4.3,31,62.38,Male,Master's Degree,Retired
413,19,33939,1.68,24,43.58,Male,Doctorate,Retired
414,47,42085,2.57,40,53.1,Non-binary,Associate Degree,Employed
415,38,50053,4.29,39,98.84,Non-binary,High School,Retired
416,27,47080,1.82,39,32.93,Prefer not to say,Bachelor's Degree,Student
